ユーザーの入力,返信内容   #最初の1行は無視されます。
ありがとう,どういたしまして！
おはよう,おはようございます！
こんばんは,こんばんは！
さようなら,またお会いしましょう！
ごめんね,気にしないでください！
いってきます,いってらっしゃい！
ただいま,おかえりなさい！
おやすみ,おやすみなさい！
お腹すいた,何かおいしいものを食べましょう！
疲れた,お疲れさまでした！
うれしい！,それはよかったです！
悲しい,元気出してくださいね！
暇だよ,のんびりするのもいいですね！
なるほど,わかっていただけてよかったです！
おめでとう,おめでとうございます！
誕生日なんだ,お誕生日おめでとうございます！
天気いいね,気持ちの良い一日ですね！
天気悪いね,こんな日はゆっくり過ごしましょう！
寒いね,あたたかくしてくださいね！
暑いね,水分補給を忘れずに！
眠い,無理せず休んでくださいね！
つかれた,よくがんばりましたね！
やったー,すごいですね！
大丈夫？,大丈夫です、ありがとう！
誰かいる？,はい、ここにいますよ！
何してるの？,あなたとお話ししています！
わかった,よかったです！
すごいね,ありがとうございます！
よろしく,こちらこそよろしくお願いします！
